# time_s wind_ms x1_blade_m x2_tower_m
9.499999999999999556e-01 1.024399999999999977e+01 1.181896316614887255e+00 2.319783528288443253e-01
9.599999999999999645e-01 1.022799999999999976e+01 1.182319858908650767e+00 2.387442949283812288e-01
9.699999999999999734e-01 1.021599999999999930e+01 1.182482665495868890e+00 2.455802419877134712e-01
9.799999999999999822e-01 1.020800000000000018e+01 1.182397456387639600e+00 2.524832795040411471e-01
9.899999999999999911e-01 1.020500000000000007e+01 1.182077258396215580e+00 2.594504041628350466e-01
1.000000000000000000e+00 1.020599999999999952e+01 1.181535405135003103e+00 2.664785238378365451e-01
1.010000000000000009e+00 1.021000000000000085e+01 1.180785537018562703e+00 2.735644575910577414e-01
1.020000000000000018e+00 1.021799999999999997e+01 1.179841601262609396e+00 2.807049356727812084e-01
1.030000000000000027e+00 1.022600000000000087e+01 1.178717851884011569e+00 2.878965995215605478e-01
1.040000000000000036e+00 1.023499999999999943e+01 1.177428849700792091e+00 2.951360017642195577e-01
1.050000000000000044e+00 1.024300000000000033e+01 1.175989462332128088e+00 3.024196062158530651e-01
1.060000000000000053e+00 1.024900000000000055e+01 1.174414812612704306e+00 3.097437954886070877e-01
1.070000000000000062e+00 1.025300000000000011e+01 1.172712868758655436e+00 3.171061565184677966e-01
1.080000000000000071e+00 1.025500000000000078e+01 1.170897736809279222e+00 3.245039677766501929e-01
1.090000000000000080e+00 1.025500000000000078e+01 1.168990031314694367e+00 3.319336056338605956e-01
1.100000000000000089e+00 1.025500000000000078e+01 1.167009678724686195e+00 3.393914649504198855e-01
1.110000000000000098e+00 1.025500000000000078e+01 1.164975917388705318e+00 3.468739590762637826e-01
1.120000000000000107e+00 1.025699999999999967e+01 1.162907297555868080e+00 3.543775198509427904e-01
1.129999999999999893e+00 1.026099999999999923e+01 1.160821681374956782e+00 3.618985976036218633e-01
1.139999999999999902e+00 1.026999999999999957e+01 1.158736242894419233e+00 3.694336611530811831e-01
1.149999999999999911e+00 1.028200000000000003e+01 1.156667468062369419e+00 3.769791978077151606e-01
1.159999999999999920e+00 1.029899999999999949e+01 1.154631154726586617e+00 3.845317133655331565e-01
1.169999999999999929e+00 1.031900000000000084e+01 1.152642412634516056e+00 3.920877321141592042e-01
1.179999999999999938e+00 1.034200000000000053e+01 1.150715663433268920e+00 3.996437968308320654e-01
1.189999999999999947e+00 1.036500000000000021e+01 1.148864640669622128e+00 4.071964687824052853e-01
1.199999999999999956e+00 1.038700000000000045e+01 1.147102389790017885e+00 4.147423277253469154e-01
1.209999999999999964e+00 1.040700000000000003e+01 1.145441268140564794e+00 4.222779719057400682e-01
1.219999999999999973e+00 1.042099999999999937e+01 1.143892944967036529e+00 4.298000180592822517e-01
1.229999999999999982e+00 1.042999999999999972e+01 1.142468401414873380e+00 4.373051014112859791e-01
1.239999999999999991e+00 1.043200000000000038e+01 1.141177930529180928e+00 4.447898756766782702e-01
1.250000000000000000e+00 1.042600000000000016e+01 1.140031137254730043e+00 4.522510130600008726e-01
1.260000000000000009e+00 1.041399999999999970e+01 1.139036938435958435e+00 4.596852042554104290e-01
1.270000000000000018e+00 1.039499999999999957e+01 1.138203562816968661e+00 4.670891584466781987e-01
1.280000000000000027e+00 1.037100000000000044e+01 1.137538551041529677e+00 4.744596033071901697e-01
1.290000000000000036e+00 1.034500000000000064e+01 1.137048755653075505e+00 4.817932849999470024e-01
1.300000000000000044e+00 1.031700000000000017e+01 1.136740341094706563e+00 4.890869681775641964e-01
1.310000000000000053e+00 1.028999999999999915e+01 1.136618783709188563e+00 4.963374359822718684e-01
1.320000000000000062e+00 1.026500000000000057e+01 1.136688871738953610e+00 5.035414900459148635e-01
1.330000000000000071e+00 1.024399999999999977e+01 1.136950803222585460e+00 5.106962457091464014e-01
1.340000000000000080e+00 1.022700000000000031e+01 1.137394629962116710e+00 5.177995615149698638e-01
1.350000000000000089e+00 1.021400000000000041e+01 1.138022618830767385e+00 5.248483944390945899e-01
1.360000000000000098e+00 1.020599999999999952e+01 1.138837803572608554e+00 5.318396874026424248e-01
1.370000000000000107e+00 1.019999999999999929e+01 1.139842807018491166e+00 5.387704587694308600e-01
1.379999999999999893e+00 1.019699999999999918e+01 1.141039841086043616e+00 5.456378023459729221e-01
1.389999999999999902e+00 1.019400000000000084e+01 1.142430706779673732e+00 5.524388873814777279e-01
1.399999999999999911e+00 1.018999999999999950e+01 1.144016794190567454e+00 5.591709585678493744e-01
1.409999999999999920e+00 1.018399999999999928e+01 1.145799082496689936e+00 5.658313360396879377e-01
1.419999999999999929e+00 1.017500000000000071e+01 1.147778139962784438e+00 5.724174153742891402e-01
1.429999999999999938e+00 1.016399999999999970e+01 1.149954123940373218e+00 5.789266675916444616e-01
1.439999999999999947e+00 1.014799999999999969e+01 1.152326780867757083e+00 5.853566391544405834e-01
1.449999999999999956e+00 1.013000000000000078e+01 1.154895446270015391e+00 5.917049519680601666e-01
1.459999999999999964e+00 1.010999999999999943e+01 1.157659044759006273e+00 5.979693033805817404e-01
1.469999999999999973e+00 1.008900000000000041e+01 1.160616090033366410e+00 6.041474661827788140e-01
1.479999999999999982e+00 1.006700000000000017e+01 1.163764684878511035e+00 6.102372886081210979e-01
1.489999999999999991e+00 1.004700000000000060e+01 1.167102521166634599e+00 6.162366943327737268e-01
1.500000000000000000e+00 1.002999999999999936e+01 1.170626879856709435e+00 6.221436824755974815e-01
1.510000000000000009e+00 1.001500000000000057e+01 1.174334630994486872e+00 6.279563275981489001e-01
1.520000000000000018e+00 1.000300000000000011e+01 1.178222233712496791e+00 6.336727797046798338e-01
1.530000000000000027e+00 9.993999999999999773e+00 1.182285736230048068e+00 6.392912642421382241e-01
1.540000000000000036e+00 9.987999999999999545e+00 1.186520775853227683e+00 6.448100821001672145e-01
